"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Feb., 2008"	"2008/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3473	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2008"	"2008/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3475	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2008"	"2008/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3004	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2008"	"2008/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2599	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2008"	"2008/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2442	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2008"	"2008/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2262	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2008"	"2008/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2292	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2008"	"2008/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2198	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2008"	"2008/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2337	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2008"	"2008/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2428	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2008"	"2008/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2788	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3018	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2728	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3037	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2732	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2599	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2482	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2270	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2247	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2132	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2565	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2544	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2733	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2010"	"2010/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2976	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2010"	"2010/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2757	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2010"	"2010/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3155	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2010"	"2010/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2706	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2010"	"2010/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2689	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2010"	"2010/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2364	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2010"	"2010/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2420	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2010"	"2010/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2353	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2010"	"2010/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2196	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2010"	"2010/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2483	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2010"	"2010/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2384	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2010"	"2010/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2861	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2011"	"2011/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3220	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2011"	"2011/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3100	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2011"	"2011/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3219	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2011"	"2011/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2827	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2011"	"2011/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2809	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2011"	"2011/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2483	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2011"	"2011/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2472	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2011"	"2011/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2354	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2011"	"2011/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2279	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2011"	"2011/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2467	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2011"	"2011/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2498	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2011"	"2011/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2794	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2012"	"2012/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3030	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2012"	"2012/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2880	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Mar., 2012"	"2012/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3115	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Apr., 2012"	"2012/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2828	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"May, 2012"	"2012/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2718	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jun., 2012"	"2012/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2327	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jul., 2012"	"2012/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2355	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Aug., 2012"	"2012/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2363	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Sep., 2012"	"2012/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2284	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Oct., 2012"	"2012/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2467	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Nov., 2012"	"2012/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2597	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Dec., 2012"	"2012/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3042	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Jan., 2013"	"2013/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3917	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Feb., 2013"	"2013/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	3296	Not Applicable	Not Applicable
