CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),UN_P05 ('000),UN_P10 ('000),UN_P15 ('000),Diff90,Diff95,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Internal Spatial Notes,Internal Population Notes,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source,,,,,,,
Chile,CHL,South America,3,134,13405,South America,CL,152,50,50,721229,3,Region,Provincias,Municipios,,,292,1992,2002,"13,045","13,831","14,724"," 13,100 "," 14,210 "," 15,211 "," 16,136 "," 17,010 "," 17,912 ",0.41,2.67,3.21,Instituto Nacional de Estadísticas de Chile. Sub. Depto. Cartografía. Dpto. Geografía y Censos. 1981. Con la Nueva Diivisón Política. Escala 1:3000000 and Mapa Caminero Geografico y Turistico de Chile Inupal. 1987. Escala 1: 1.400.000 Codigo Ciat 782 gbbg 1989 -  782 fb 198; Prepared by the Centro Internacional de Agricultural Tropical (CIAT). ,"Instituto Nacional de Estadisctica, INE. 1992 and 2002; www.ine.cl; refinements made at CIESIN using http://www.ine.cl/cd2002/index.php, an intercative map showing 1992 and 2002 population by municipio.","Polygons for the small island municipios of Isla de Pascua and Juan Fernandez located in the Valparaiso region, were added to the original shapefile from Instituto Nacional de Estadísticas based on the interactive map available from the Chile census office, at http://www.ine.cl/cd2002/index.php . Because these islands were rendered in a generalized way, they are not considered to be acurately georeferenced.","Recent boundary divisions were accomodated in the following attribution of population: 
- We assign the populations of Aisen and Cisnes municipios to Cisnes, although rendered as two separate polygons in the interactive map, our shapefile indicated only one polygon, Cisnes, which visual approximates the size and shape of these two municipalities combined. 
- The following muncipios were merged into Chilena Punta Rio Natales: Antartic Chilena, Punta Arenas, Rio Verde (Is), and Natalie (Is) (also called Puerto Natales). They were assigned a single, total population value.
- Cabo de Hornos merges the municipalities of Timaukel and Cabo de Hornes. 
- In Atacama region, the muncipios of Copiapo and Cladera are merged. 
- In Metropolitana region, in the province of Talagante, the municipio Penaflor and Padre Hurtado are merged. 
- The following muncipios within Region Metropolitana, Provincia Santiago are treated as Provincia Santiago (I.e., we did not have the boundaries at the municipio-level for this province): Lo Barnechea,  Vitacura,  Las Condes,  La reina,  Penalolen, La Florida,  Huechuraba,  Recoleta,  Providencia,  Nunoa,  Macul, Quilicura, Conchali, Independicia, Renca, Cerro Navia, Quinta Normal, Lo Prado,  Estacion central,  Santiago,  San Joaquin,  La Granja,  La Pintana,  San Miguel,  San Ramon,  La Cisterna,  El Bosque,  Pedro Aguirre Cerda,  Lo Espejo,  Cerrillos,  Maipu,  Pudahuel
- A 5% growth rate cap was applied to select units.",,A rate cap of 5% are used for units with growth rates greater than 5%; there were about 4 such units.,62,"4,582,120","18,036","170,501.40","Populated centres with definite urban characteristics, such as certain public and mu_nicipal services.",49,"2,202",2,245.90,"12,049","2,570,156","1,669","141,973","6,956,659",1.68,45.1,86.1,87,0,0,0,"City Population, www.citypopulation.de","Map, NIMA",,,,,,,
China,CHN,Asia,4,138,13805,Eastern Asia,CN,156,62,523,9198103,3,Province,Prefecture,County,,,2370,1990,2000,"1,131,925","1,131,925","1,182,823"," 1,155,305 "," 1,219,349 "," 1,275,133 "," 1,321,364 "," 1,366,215 "," 1,410,217 ",2.02,7.17,7.24,"China 2000 County Population Census (CD-ROM). All China Marketing Research Co., LTD. ","China 2000 County Population Census (CD-ROM). All China Marketing Research Co., LTD. ","Taiwan was removed from the China shapefile.
1990 and 1995 population estimates were added to GPW3 units from GPW2 as follows: 1) GPW2 polygons projected to match GPW3 coordinate system with slight adjustment in false northing to compensate for misalignment 2) Converted projected GPW2 polygons to centroids 3) Visually-inspected centroids to ensure placement within appropriate GPW3 polygon (verified by comparing to administrative unit names) and moved when necessary 4) Where disaggregation occurred, centroids were copied and pasted to corresponding empty polygons. 5) Performed spatial join in ArcMap to assign GPW2 attributes to the new polygons and assigned the sum of each population attribute if there were multiple centroids within each polygon 6) Inspected data to ensure no data loss 7) Data were converted to lat/long coordinates.",Population data were extrapolated to target years using a county (administrative level 3) growth rate calculated between the years 1990 and 2000.  A 5% rate cap was applied to select units.  The 2000 population data was missing for the administrative 3 level unit of Mangyadachaidan.  A population growth rate was calculated using 1990 and 1995 Mangyadachaida population estimates.  The 1995 data was then extrapolated to target years. ,"Source files: county2000.shp, province_region.shp   
Coastline matched to DCW by digitizing a polygon around the coast to retain islands, and running bordermatch.aml. Removed Taiwan -GY","ALPHA/BETA NOTES: Source files: county2000.shp, province_region.shp   
Census pop data, P00, came attached to ""county2000.shp"" spatial data as variable ""A1"". The field was renamed in Arc/Info.
PROD: Lisa fixed China for prod.  Because Greg B had matched the pop data to the boundaries based on a spatial match, there were many mismatches that were later discovered.  Lisa fixed as many as she could find-- in the process this changed the number of units from 2390 to 2370.",4707,"13,459,634","1,215","77,654.51","Up to 1982: total population of cities and towns. Cities had to have a population of at least 100,000 or command special administrative, strategic, or economic importance to qualify as cit_ies. Towns were either settlements with more than 3,000 inhabitants of whom more than 70 per cent were registered as non-agricultural or settlements with a population ranging from 2,500 to 3,000 of whom more than 85 per cent were registered as non-agricultural. For the 1990 census: (1) all residents of urban districts in provincial and prefectural-level cities; (2) resident population of ""streets"" (jiadao) in county-level cities; (3) population of all residents' committees in towns. For 1996 and 2000: Not available.",6769,"8,973",0,56.23,"380,588","29,462,030","1,002","93,337","631,800,938",4.11,50.4,36.7,3414,4657,0,0,"CHINA POPULATION BY TOWNSHIP Census 2000, UNIVERSITY OF MICHIGAN, CHINA DATA CENTER at www.umich.edu/~iinet/c","DCW, Getty, NIMA, World Gazetteer",,,,,,,
Ivory Coast,CIV,Africa,1,169,16905,Western Africa,CI,384,42,89,320329,3,Region,Departement,Sous-Prefecture,,,185,1988,1998,"11,446","13,676","16,487"," 12,582 "," 14,385 "," 16,013 "," 17,757 "," 19,625 "," 21,529 ",9.03,4.93,-2.96,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","1998 Population Census: Premiers resultats définitifs du RGPH-98 / Institut national de la statistique. Recensement général de la population et de l'habitat 1998. Abidjan--République de Côte d'Ivoire, Institut National de la Statistique, Bureau Technique du Recensement.   The 1990 population figure is based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), and was estimated by Benoit Ninnin, based on these sources:  Etude d'une Image - Long Terme de l'Afrique; Atlas Jeune Afrique; Republique de la Cote d'Ivoire: Ministere du Plan et de la Comptabilite Nationale: Recensement general de la population et de l'habitat, 1988: a: Resultats provisoires par localite. b: Exploitation et comparaison 1965/1975/1988; Seminaire national de presentation des resultats du RGPH, 1988.","The 1998 census included 8 new department (administative 2 level) units-- all 8 were previously considered sous-prefectures (administrative 3 level).  These are: Alepe, Dabou, Jacqueville, Tiebissou, Bocanda, Adiake, Grand-Bassam, and Toulepleu.  New spatial data were not available to match these changes therefore the population of these units were redistributed into their respective parent department units (administrative level 2).","The 1998 census data was obtained for administrative level 2.  This data is coarser than the 1988 census data which was obtained for administrative level 3.  Thus, an administrative level 2 population growth rate was calculated for the period 1990–1998 and applied to the 1990 administrative level 3 units to extrapolate the population of these areas to 1995 and 2000.",,"Pop data from a Library publication: (Economic Growth Center) 7F/I  HA4725  A56; GPW 2 was documented as adm2, but it's actually adm3.
Population totals for 1998 were obtained at level 2. These were matched to level two boundaries derived by dissolving the GPW 2 level 3 boundaries (GPW 2 was documented as level 2; it is actually level 3!). After matching the population data from 1998 to the level 2 boundaries, the level two pop figures were joined to the level three administrative boundaries. Population at level 3 for 1998 was estimated by dividing the level 2 pop figures amongst the level 3 units based on the distribution of population in 1990. Questions? Ask Greg Y. 
RefYear1998 Notes: this is referred to as P98E in the shapfile as the level 3 population figures were estimated based on the level 2 population data for 1998. These numbers should be used as the base for extrapolation to 1990, 1995, and 2000 -- I suspect that they are more reliable than the P60 through P90 estimates in the shapefile, which are estimates rather than NSO numbers at the nearest 1000! See note at right for further details. Greg Y.  Update:  It was decided that it would be better if we use original P90E and P98E  for extrapolation.  Lisa 3/21/2003. Additional pop info available in \\mapdev\GPW3\data\Ivory Coast\civ_population.xls",76,"1,929,079","1,732","56,106.66","Urban agglomerations containing more than 10,000 inhabitants; agglomerations with populations ranging from 4,000 to 10,000 persons with more than 50 per cent of the households en_gaged in non-agricultural activities; and the administrative centres of Grand Lahoun and Dabakala. Excludes the milieu urbain of Bouna, which has a population of 11,000.",66,660,2,53.09,"3,504","3,178,823","6,616","81,485","5,378,022",1.10,32.1,44.0,61,26,1,0,"AFCities, Data provided by Uwe Deichman at the World Bank","AFCities, NIMA",,,,,,,
Cameroon,CMR,Africa,1,108,10805,Middle Africa,CM,120,97,255,465765,2,Province,Department,,,,49,,1987,"9,755","11,040","12,494"," 11,614 "," 13,273 "," 14,876 "," 16,557 "," 18,347 "," 20,226 ",16.01,16.83,16.01,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","The 1990 population figure is based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), and was estimated by Benoit Ninnin, based on these sources Republique du Cameroun: Demo 87: 7 millions et demi en 1976, 10 millions et demi en 1987.",,Population data were extrapolated to the target years using growth rates derived from United Nations national level estimates and projections.,GPW2 data,ALPHA/BETA NOTES: GPW2 data; PROD NOTES: Projected from GPW2 using the UN 10 year growth rates (1990-2000; 2000-2010; 2010-2020)-- the difference between our figures and the UN figures is very large-- Mbrickman,166,"1,433,619","1,123","44,017.74",Urban centres.,104,382,2,35.46,"3,688","1,379,223","5,271","62,614","6,511,823",0.80,43.8,49.7,19,134,7,0,"Recensement General de la population et de l'habitat de 1987 de Cameroon: donnees provisiores, Census Bureau, Migration, Urbanization and Development of Cameroon, published by the Institute of the Formation and Research of Demographics by Joseph-Pierre Timnou","Columbia Gazetteer, NIMA, Times Atlas of the World, 1, World Gazetteer",,,,,,,
"Congo, Democratic Republic",COD,Africa,1,926,92605,Middle Africa,ZR,180,124,347,2313414,3,Region,Sous-Region,Ville,,,150,1970,1984,"37,841","45,854","52,108"," 36,999 "," 44,834 "," 50,948 "," 60,206 "," 71,272 "," 84,045 ",-2.28,-2.28,-2.28,"GIS database produced by the Universitä Louvain, Belgium and obtained from the Department of Geography, University of Maryland. ","Republique du Zaire (1984), Combien Sommes- Nous, Resultats Provisoires, Institut National de la Statistique, Kinshasa and Republique du Zaire (undated), Zaire Recensement Scientifique de la Population 1984, Totaux Definitifs, Institut National de la Statistique, Kinshasa [ contains pop figures down to cite/col level ] ", ,"Population data were extrapolated to the target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",,,182,"2,664,300","1,139","50,522.59","Places with 2,000 inhabitants or more where the predominant economic activity is non-agricultural; and places with fewer inhabitants which are considered urban because of their type of economic activity (predominantly non-agricultural).",162,504,0,55.96,"9,066","5,028,096","1,019","69,127","11,198,531",0.40,22.4,30.7,41,159,14,0,"AFCities, Data provided by Uwe Deichman at the World Bank; World Gazetteer, www.gazetteer.de","AFCities, World Gazetteer",,,,,,,
Congo,COG,Africa,1,161,16105,Middle Africa,CG,178,86,60,343235,2,Region,District/Commune,,,,46,1984,1996,"2,122","2,415","2,751"," 2,230 "," 2,603 "," 3,018 "," 3,511 "," 4,084 "," 4,730 ",4.84,7.24,8.86,UNEP/GRID-WRI-NCGIA Africa Population Database: http://grid2.cr.usgs.gov . Boundaries digitized from 1:1m IGN map.,"The population figures for 1990 were based on the OECD/Club du Sahel West Africa Long Term Perspective Study (WALTPS), estimated by Benoit Ninnin from these sources: Republique Populaire du Congo, 1987, Annuaire Statistque, Ministere du Plan, Brazzaville [1974 data]; and Republique Populaire du Congo, 1987, Recensement General de la Population et de l'Habitat de 1984, Vol. 3: Resultats Definitifs, Tome I: Ensemble du Pays, Direction des Statistiques Demographiques et Sociales, Brazzaville. The regional 1984 and 1996 Census populations from CityPopulation, http://www.citypopulation.de/Congo.html",,"District level data were available for 1974, but only province level data could be obtained for 1984. Province level growth rates were originally used for interpolation, except for communes (6 major cities) for which data was available for 1974 and 1984, for Brazzaville and Pointe Noire also for 1960 from UNSTAT. These cities were treated explicitly, while the residual population in the corresponding district was interpolated using aggregate province growth rates. These data were used to estimate population in 1990 at the district level.  Population data were extrapolated to the years 1995 and 2000 using regional growth rates between 1984 and 1996. ",ALPHA/BETA NOTES: GPW2 data,"ALPHA/BETA NOTES: Projected from GPW2 using UN National Estimates for 1990, 1995, and 2000 for growth rates. P90E was used to produced the P95E with g.r calculated from UN pop estimates for 1990-1995. P95E was used to produced the P00E with g.r calculated from UN pop estimates for 1995-2000.  For later projections see rates in pink below. -MBrickman; PROD NOTES: P90E projected using Regional Census pop from CityPop, 1984 and 1996.  We can't find any new pop at district level, so the region pop rate computed from CityPop used to project rather than using UN rates.  --lisa",22,"1,117,617","11,841","104,389.09",Communes of Brazzaville and Pointe-Noire.,22,261,0,49.77,"1,095","1,247,472","1,175","112,085","2,465,879",0.32,71.7,66.1,12,16,0,0,"AFCities, Data provided by Uwe Deichman at the World Bank","AFCities, NIMA, World Gazetteer",,,,,,,
Cook Islands,COK,Oceania,6,164,16405,Polynesia,CK,184,7,1,688,2,Group,Island,,,,15,1991,2001,19,19,18, 18 , 19 , 20 , 20 , 21 , 22 ,-1.05,-0.18,7.28,Digital Chart of the World (DCW).,"Cook Islands Statistics Office, http://www.spc.int/prism/country/CK/stats/ .","The Northern Cook Islands were manually digitized based-upon visual inspection and coordinates available at http://kiaorana.com/star/maps.html and the NOAA coastline extractor, World Vector Shoreline, http://rimmer.ngdc.noaa.gov/coast/getcoast.html . ",Rate between 1991 and 1996 used to estimate 1990 and 1995. Rate between 1996 and 2001 applied to project to additional target years.,"The following islands were manually digitized by Greg B. based-upon visual inspection and coordinates available at: http://kiaorana.com/star/maps.html. He neglected to remember the NOAA coastline extractor at: http://rimmer.ngdc.noaa.gov/coast/getcoast.html, which should be used for beta release!","The trend of our projected pop is a bit weird, but I looked at the raw data from the census office and it follows the same pattern of increasing and decreasing population. -lisa   
2001: 18027
1996: 19103
1991: 18608
** Rate between 1996 and 2001 applied to project to years 2000-2020.  ",1,"8,958","8,958","8,958.00",Island of Rarotonga.,1,56,56,56.50,56,"10,069","10,069","10,069","10,069",8.22,53.5,59.1,1,0,0,0,"World Gazetteer, www.gazetteer.de","Map, World Gazetteer",,,,,,,
Colombia,COL,South America,3,150,15005,South America,CO,170,33,34,1141569,2,Departamento,Municipio,,,,1059,1985,1993,"31,771","34,041","36,512"," 34,970 "," 38,542 "," 42,105 "," 45,580 "," 49,159 "," 52,641 ",9.15,11.68,13.28,"Instituto Geográfico ""Agustín Codazzi"". 1995. Mapa digitalizado por el DANE. Plancha 1:500000 Prepared by the Centro Internacional de Agricultural Tropical (CIAT).","Departamento Administrativo Nacional de Estadística, DANE. ""República de Colombia: Panorama Colombiano,"" http://www.sin.com.co/clientes/DANE/censo93.html .","Because of boundary changes at the muncipio level, the following spatial edits were made: 
In the province of Bolivar:
· Altos de Rosario merged with Barranco de Loba 
· Cantagallo merged with San Pablo 
· Cicuco merged with Talaiga Nuevo 
· Hatillo de Loba merged with San Martin de Loba 
· Montecristo merged with Achi 
· Tiquisio merged with Pinillos 
In Choco, Canton de San Pablo merged with Istmina.
In Norte Santander,  La Esperanza merged with Abrego y Cachica; and Puerto Santander merged with Cucuta .
In Putumayo, San Miguel merged with valle de Guamez.
","Population of municipios without matching polygons  (Guainia - C.D. Guaviare; Vaupes – C.D. Villa Fatima and C.D. Acaricuara) are distributed evenly among all municipios within the appropriate province.  
Department level (administrative level 1) growth rates between 1985 and 1993 were applied to 1993 municipio (administrative level 2) population data to extrapolate to target years.",ALPHA/BETA: Municipio names should be treated with caution for specific applications. These lack further confirmation.  PROD: corrected errors based on 1993 census report from the DANE,ALPHA/BETA: CEPAL department level growth rate from 1985 to 1993 applied to 1993 muncipio population data. PROD: corrected errors based on 1993 census report from the DANE,783,"5,691,098","1,103","34,941.76","Population living in a nucleus of 1,500 inhabitants or more.",352,"2,996",1,102.84,"36,199","3,021,166","1,318","66,876","23,540,463",3.21,55.9,75.5,438,201,0,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; City Population, www.citypopulation.de;World Gazetteer, www.gazetteer.de","Celade, Columbia Gazetteer, Getty, Map, NIMA, World Gazetteer",,,,,,,
Comoros,COM,Africa,1,154,15405,Eastern Africa,KM,174,23,140,2046,1,Ile,,,,,4,1991,1996,436,494,560, 527 , 609 , 706 , 817 , 939 ," 1,067 ",17.27,18.90,20.64,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Comoros 1996 population estimates are from Geohive http://www.geohive.com/ .  Geohive cites the original source as: ""L'Évaluation de l'éducation pour tous à l'an 2000: Rapport des pays, Forum mondial sur l'éducation, Unesco.""
Mayotte is included in Comoros. Mayotte 1997 (rather than 1996) and 1991 census data are also from Geohive. Geohive cites the original source as: Le SPLAF http://splaf.free.fr/976des.html .",,A population growth rate was calculated between 1991 and 1996 (1997 for Mayotte) to extrapolate the population data to target years.,"Used GPW2 boundaries.  No administrative unit edits were necessary. Attached census population from 1991 and estimates from 1996 and 1997, sources documented in country spreadsheet in data/africa/comoros.  Includes Mayotte. Editing and extrapolation done by GY.",Used P91 and P96 (P97 for Mayotte) to calculate rate used for extrapolation from P91.,93,"37,327","1,573","4,535.06","Administrative centres of prefectures and localities with 5,000 inhabitants or more.",12,70,1,17.96,215,"74,205","2,675","17,264","207,168",12.87,37.9,33.8,4,31,0,0,"AFCities, Data provided by Uwe Deichman at the World Bank; General Census for Comores, September 1980, Census Bureau;World Gazetteer, www.gazetteer.de","AFCities, Columbia Gazetteer, NIMA",,,,,,,
Cape Verde,CPV,Africa,1,120,12005,Western Africa,CV,132,21,48,4072,1,Ilha,,,,,9,1990,2000,324,374,435, 341 , 381 , 427 , 475 , 522 , 567 ,5.05,1.76,-1.84,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Instituto Nacional de Estatistica, Cabo Verde: Censo 1990 e Censo 2000, Outros Años Perspectivas Demográficas de Cabo Verde Horizonte 2020, http://www.ine.cv/estatisticas_cv_demografia.htm .",,A population growth rate was calculated between 1990 and 2000 to extrapolate the population data to target years.,,"Growth rate calculated between 1990 and 2000. The population seems to get a bit high in 2015, but not too bad. Mbrickman",16,"94,757","1,802","13,606.00",Not available.,11,62,1,17.46,192,"93,528","1,093","19,336","212,699",4.72,47.2,63.5,9,4,0,0,"City Population, http://www.citypopulation.de; World Gazetteer, www.gazetteer.de","AFCities, Getty, NIMA, World Gazetteer",,,,,,,
Costa Rica,CRI,North America,2,168,16805,Central America,CR,188,25,46,51015,2,Provincia,Cantones,,,,82,1996,2000,"3,055","3,405","3,810"," 3,049 "," 3,554 "," 4,024 "," 4,454 "," 4,857 "," 5,233 ",-0.22,4.18,5.30,Instituto Geográfico Nacional. 1984. Mapa de Provincias y Cantones. Escala 1:1500000  Prepared by the Centro Internacional de Agricultural Tropical (CIAT).,"The population data sources are: (1) Instituto Nacional de Estadística y Censos, INEC. IX Censo Nacional de Población y Vivivenda del 2000: http://www.meic.go.cr/ and (2) 1996 data are estimates provided by the Instituto Nacional de Estadística y Censos of Costa Rica",,Population data for cantones (adminstrative level 2) were extrapolated to target years using  growth rates calculated between 1996 and 2000.,"ALPHA/BETA: The name of the municipio ""Leon Cortes Castro"" in San Jose Department lacks confirmation",,32,"309,700","19,200","44,700.91","Administrative centres of cantons, including adjacent areas with clear urban character_istics such as streets, urban services and electricity.",16,"1,958",68,254.87,"4,078","1,662,620","5,797","125,621","2,009,935",8.05,51.2,59.5,30,3,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Cuba,CUB,North America,2,170,17005,Caribbean,CU,192,26,66,111199,2,Provincia,Municipio,,,,169,1991,2000,"10,863","11,031","11,217"," 10,629 "," 10,964 "," 11,199 "," 11,369 "," 11,514 "," 11,644 ",-2.21,-0.61,-0.16,,"Population for 1991 from Census of Cuba 1991 - digital data from the United Nations Statistics Division's Software Development Project.  
Population 2000 from the Anuario Estadistico de Cuba 2000 from the Oficina Nacional de Estadisticas.",,,No source info on the GPW2 site,Standard projection: rate between 1991 and 2000 used to project to target years.,140,"2,186,632","2,297","68,108.61","Places with 2,000 inhabitants or more, and places with fewer inhabitants but having paved streets, street lighting, piped water, sewage, a medical centre and educational facilities.",109,605,2,72.24,"7,874","440,867","1,261","48,876","5,327,491",7.15,47.9,75.5,67,46,0,0,"2001 Statistical Annual, Cuba, Officina Nacional de Estadisticas (ONE), UN Statistical Library; World Gazetteer, www.gazetteer.de","Map, NIMA, World Gazetteer",,,,,,,
Cayman Islands,CYM,North America,2,122,12205,Caribbean,KY,136,10,14,279,1,Islands,,,,,3,1989,1999,26,33,41, 26 , 32 , 38 , 45 , 52 , 59 ,-0.50,-2.58,-6.58,Digital Chart of the World (DCW).,"Cayman Census, 1989: http://www.columbiagazetteer.org/ 
Cayman Census, 1999: http://www.caymanislands.ky/tour_guide/population.asp",,,,Standard interpolation,3,"21,420","1,120","6,991.17",Entire population.,1,188,188,188.29,188,"33,658","33,658","33,658","33,658",67.60,84.8,100.0,2,0,0,0,"City Population, www.citypopulation.de","Map, NIMA",,,,,,,
Cyprus,CYP,Asia,4,174,17405,Western Asia,CY,196,5,2,9273,2,District,Municipality,,,,414,1992,2001,680,721,767, 681 , 744 , 784 , 815 , 841 , 864 ,0.06,3.03,2.13,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,2001 population census data were provided by the Statistical Service of the Republic of Cyprus and The Press Information Office of Cyprus: http://www.mof.gov.cy/mof/cystat/statistics.nsf/populationcondition_en/ and http://www.pio.gov.cy/dsr/key_figures/population_census/municipality.xls.  Population estimates for the Turkish controlled areas were also provided by the Press Information Office: http://www.pio.gov.cy/dsr/key_figures/population/index.htm,,"(1) No detailed population data were available for the Turkish controlled area of Cyprus. Thus, all subnational units in this area were dissolved into one polygon and assigned a single population value.  The population values were estimated by calculating the difference between ""Total estimated population including estimates of Turkish Cypriots"" and ""Population in the Government controlled area""for 1992 and 2001. 
(2) The 'Anthoupoli Refugee Housing Estate' unit is not listed in the boundary file, but the census Web site suggests it is part of the Lakatameia municipality; therefore the populations of the two areas were aggregated.  
(3) District level (administrative level 1) growth rates were calculated between the census years 1992 and 2001 and applied to the applied to the municipality (administrative level 2) population figures to extrapolate the data to target years.  ",,"PROD: Hypid extrapolation; This note was moved from the pop edits section--[LISA--Didn't we have another source for estimating the population of the Turkish controlled areas?   YES, but we can't determine the year that we should assign the estimates, so we decide to use what is mentioned above.  -Lisa]",73,"92,719","3,166","21,642.00",Six district towns and Nicosia's suburbs.,4,"1,005",245,580.95,"2,324","259,912","50,638","153,326","613,303",25.12,78.0,70.2,9,0,0,0,"Cyprus Population Census, 2001, REPUBLIC OF CYPRUS, STATISTICAL SERVICE; www.pio.gov.cy/dsr/key_figures/population_census/municipality.xls","NIMA, World Gazetteer",,,,,,,
Czech Republic,CZE,Europe,5,179,17905,Eastern Europe,CZ,203,4,2,78616,3,Kraje,Okresy,Obec,,,6258,1996,2001,"10,423","10,333","10,247"," 10,306 "," 10,331 "," 10,272 "," 10,218 "," 10,138 "," 10,028 ",-1.14,-0.02,0.25,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"Population data from the Czech Statistical Office.  2001 data from Population and Housing Census 2001, downloaded from 'Basic data about municipalities': http://www.czso.cz/eng/redakce.nsf/i/basic_data_about_municipalities ; 1996 population data from the Czech Statistical Office: http://www.czso.cz/eng/angl.htm .  ",,Okres (administrative level 2) growth rate between 1996 and 2001 applied to 2001 Obec (administrative level 3) population to project to target years.,,BETA NOTE: Growth Rate calculated for 1995 to 2001 and used to project to target years.  1995 population and boundary data from GPW2; PROD NOTE: New pop data was added at a finer level; The 1996 and 1997 pop is GPW2 raw data.,131,"1,181,877","10,057","42,752.11","Localities with 5,000 inhabitants or more",118,"1,275",13,105.84,"12,489","1,457,584","5,107","55,636","6,564,996",15.91,64.0,74.5,198,1,0,0,"Czech Republic Population and Housing Census March 2001, http://www.czso.cz/eng/angl.htm",World Gazetteer,,,,,,,
Germany,DEU,Europe,5,265,26505,Western Europe,DE,276,28,184,356027,2,Länder,Kreise,,,,446,1995,2002,"81,486","81,769","82,250"," 79,433 "," 81,661 "," 82,017 "," 81,860 "," 81,353 "," 80,673 ",-2.58,-0.13,-0.28,Boundaries from the Seamless Administrative Boundaries of Europe (SABE) distributed by MEGRIN (now Eurographics [http://www.eurogeographics.org/eng/03_projects_sabe.asps] ) (SABE v1995.2 date of release : 31 Mar 1998),"1995 population from for Kreise from: http://www.brandenburg.de/statreg/daten_02/d02a01.htm.  
2002 pop from https://www-genesis.destatis.de/genesis/online/Online  ©Statistisches Bundesamt, Wiesbaden, 2004.  
",,"(1) In Sachsen, only one of the 5 units that make up Vogtlandkreis in the boundary data has 1995 population.  The five units are merged and the the total population of Vogtlandkreis estimated by multiplying the available population five times.   
(2) In Niedersachsen, the polygons for Hannover City and the surrounding Hannover Region are merged and population added together.  
(3) In Sachsen, polygons for Dresden City and surrounding Dresden Land are merged and population added together. The 2002 population for Dresden in Sachsen is not available, however, 2000 population is provided by the City Administration of Dresden via their website, www.dresden.de.  
(4) In Thueringen, the population of Eisenach added to Wartburgkreis.",,1995 pop from GPW2.,1132,"3,415,873","6,716","47,602.01","Communes with 2,000 inhabitants or more.",607,"6,079",1,102.99,"62,513","10,731,503","1,093","95,257","57,821,291",17.63,70.2,87.7,759,102,5,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",World Gazetteer,,,,,,,
