"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Los Angeles County, CA"	"06037"	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Jan., 2001"	"2001/01"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Asthma (J45-J46)"	"GR113-085"	20	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"May, 2001"	"2001/05"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Oct., 2001"	"2001/10"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Nov., 2001"	"2001/11"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	"Dec., 2001"	"2001/12"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	"Jan., 2002"	"2002/01"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	"Mar., 2002"	"2002/03"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	"Apr., 2002"	"2002/04"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	"Sep., 2002"	"2002/09"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	"Oct., 2002"	"2002/10"	"Asthma (J45-J46)"	"GR113-085"	18	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	"Dec., 2002"	"2002/12"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	"Jan., 2003"	"2003/01"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	"Mar., 2003"	"2003/03"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	"Apr., 2003"	"2003/04"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	"May, 2003"	"2003/05"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	"Jul., 2003"	"2003/07"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	"Sep., 2003"	"2003/09"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	"Oct., 2003"	"2003/10"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	"Jan., 2004"	"2004/01"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	"Feb., 2004"	"2004/02"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	"Mar., 2004"	"2004/03"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	"Sep., 2004"	"2004/09"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	"Nov., 2004"	"2004/11"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	"Dec., 2004"	"2004/12"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	"Feb., 2005"	"2005/02"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	"Mar., 2005"	"2005/03"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	"Apr., 2005"	"2005/04"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	"May, 2005"	"2005/05"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	"Jul., 2005"	"2005/07"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	"Dec., 2005"	"2005/12"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	"Mar., 2006"	"2006/03"	"Asthma (J45-J46)"	"GR113-085"	19	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	"Apr., 2006"	"2006/04"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	"Jun., 2006"	"2006/06"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	"Aug., 2006"	"2006/08"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	"Oct., 2006"	"2006/10"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	"Dec., 2006"	"2006/12"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2007"	"2007"	"May, 2007"	"2007/05"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2007"	"2007"	"Nov., 2007"	"2007/11"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2007"	"2007"	"Dec., 2007"	"2007/12"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Mar., 2008"	"2008/03"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Jul., 2008"	"2008/07"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Nov., 2008"	"2008/11"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	"Dec., 2008"	"2008/12"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Asthma (J45-J46)"	"GR113-085"	21	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"May, 1999"	"1999/05"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Asthma (J45-J46)"	"GR113-085"	18	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Feb., 2001"	"2001/02"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Mar., 2001"	"2001/03"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Apr., 2001"	"2001/04"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Jun., 2001"	"2001/06"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Jul., 2001"	"2001/07"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Aug., 2001"	"2001/08"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Sep., 2001"	"2001/09"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Oct., 2001"	"2001/10"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Nov., 2001"	"2001/11"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2001"	"2001"	"Dec., 2001"	"2001/12"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Feb., 2002"	"2002/02"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Mar., 2002"	"2002/03"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Apr., 2002"	"2002/04"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"May, 2002"	"2002/05"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Jun., 2002"	"2002/06"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Aug., 2002"	"2002/08"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Sep., 2002"	"2002/09"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Oct., 2002"	"2002/10"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Nov., 2002"	"2002/11"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2002"	"2002"	"Dec., 2002"	"2002/12"	"Asthma (J45-J46)"	"GR113-085"	17	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2003"	"2003"	"May, 2003"	"2003/05"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2003"	"2003"	"Sep., 2003"	"2003/09"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2003"	"2003"	"Oct., 2003"	"2003/10"	"Asthma (J45-J46)"	"GR113-085"	18	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2003"	"2003"	"Dec., 2003"	"2003/12"	"Asthma (J45-J46)"	"GR113-085"	15	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2004"	"2004"	"Feb., 2004"	"2004/02"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2004"	"2004"	"Mar., 2004"	"2004/03"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2004"	"2004"	"Jun., 2004"	"2004/06"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2004"	"2004"	"Jul., 2004"	"2004/07"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2004"	"2004"	"Dec., 2004"	"2004/12"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Jan., 2005"	"2005/01"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Feb., 2005"	"2005/02"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Jun., 2005"	"2005/06"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Jul., 2005"	"2005/07"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Aug., 2005"	"2005/08"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Sep., 2005"	"2005/09"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Oct., 2005"	"2005/10"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2005"	"2005"	"Dec., 2005"	"2005/12"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2006"	"2006"	"Dec., 2006"	"2006/12"	"Asthma (J45-J46)"	"GR113-085"	20	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2007"	"2007"	"Jun., 2007"	"2007/06"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2007"	"2007"	"Dec., 2007"	"2007/12"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Asthma (J45-J46)"	"GR113-085"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2008"	"2008"	"Aug., 2008"	"2008/08"	"Asthma (J45-J46)"	"GR113-085"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"2008"	"2008"	"Sep., 2008"	"2008/09"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Wayne County, MI"	"26163"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"2001"	"2001"	"Dec., 2001"	"2001/12"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"2004"	"2004"	"Jan., 2004"	"2004/01"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"2004"	"2004"	"Dec., 2004"	"2004/12"	"Asthma (J45-J46)"	"GR113-085"	12	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Asthma (J45-J46)"	"GR113-085"	16	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"1999"	"1999"	"May, 1999"	"1999/05"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"2003"	"2003"	"Feb., 2003"	"2003/02"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"2004"	"2004"	"Jan., 2004"	"2004/01"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
	"New York County, NY"	"36061"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"Asthma (J45-J46)"	"GR113-085"	14	Not Applicable	Not Applicable
	"Harris County, TX"	"48201"	"2003"	"2003"	"Apr., 2003"	"2003/04"	"Asthma (J45-J46)"	"GR113-085"	10	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2019"
"Query Parameters:"
"ICD-10 113 Cause List: Asthma (J45-J46)"
"Year/Month: 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008"
"Group By: County; Year; Month; ICD-10 113 Cause List"
"Show Totals: Disabled"
"Show Zero Values: Disabled"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Mar 14, 2021 10:26:41 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Mar 14, 2021 10:26:41 PM"
"---"
Messages:
"1. The full results are too long to be displayed. Due to suppression constraints rows that are zero, suppressed or a total will"
"not be available."
"2. Totals and Percent of Total are disabled when data are grouped by 113 or 130 Cause Lists. Check Caveats below for more"
"information."
"---"
Footnotes:
"1. A '#' symbol preceding the label indicates a rankable cause of death. More information."
"2. Data are not available for this area for all of the requested years. See Caveats below for more information."
"3. Data discontinuity due to county line boundary changes in requested years. See Caveats below for more information."
"4. Deaths for Allen Parish, Louisiana are under reported in years 2006 through 2008. See Caveats below for more information."
"---"
Caveats:
"1. Note: County of residence is misidentified in 316 deaths that occurred in the year 2000, for Hartford County, CT (FIPS code"
"09003) and New London County, CT (FIPS code 09011). More information: http://wonder.cdc.gov/wonder/help/ucd.html#errata."
"2. Totals and Percent of Total are disabled when data are grouped by a 113 or 130 Cause List because both aggregate and detailed"
"values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be"
"misleading."
"3. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"4. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"6. Data for Prince of Wales-Hyder Census Area, AK (FIPS code 02198), Hoonah-Angoon Census Area, AK (FIPS code 02105), Skagway"
"Municipality, AK (FIPS code 02230), Petersburg Borough/Census Area, AK (FIPS code 02195) and Wrangell City and Borough, AK (FIPS"
"code 02275) are only available for 2014 and later; for computational purposes, counts and population estimates for 2013 and"
"earlier are set to zero. Thus, counts and rates shown in multi-year requests for this entity do not include any data for years"
"before 2014, only data for 2014 and later. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Alaska2014."
"7. Data for Denali Borough, Alaska (FIPS code 02068) are only available for 2003 and later; for computational purposes, counts"
"and population estimates for 1999-2002 are set to zero. Thus, counts and rates shown in multi-year requests for this entity do"
"not include any data for years prior to 2003, only data for 2003 and later. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Denali Borough."
"8. There is a discontinuity in the mortality and population data for Yukon-Koyukuk Census Area (FIPS code 02290) between 2002"
"and 2003. The discontinuity occurs because part of Yukon-Koyukuk Census Area became Denali Borough, Alaska (FIPS code 02068) and"
