"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"2004"	"2004"	"Mar., 2004"	"2004/03"	"Asthma (J45-J46)"	"GR113-085"	113	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Apr., 2004"	"2004/04"	"Asthma (J45-J46)"	"GR113-085"	90	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"May, 2004"	"2004/05"	"Asthma (J45-J46)"	"GR113-085"	99	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Jun., 2004"	"2004/06"	"Asthma (J45-J46)"	"GR113-085"	110	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Jul., 2004"	"2004/07"	"Asthma (J45-J46)"	"GR113-085"	89	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Aug., 2004"	"2004/08"	"Asthma (J45-J46)"	"GR113-085"	86	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Sep., 2004"	"2004/09"	"Asthma (J45-J46)"	"GR113-085"	107	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Oct., 2004"	"2004/10"	"Asthma (J45-J46)"	"GR113-085"	100	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Nov., 2004"	"2004/11"	"Asthma (J45-J46)"	"GR113-085"	110	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2004"	"2004"	"Dec., 2004"	"2004/12"	"Asthma (J45-J46)"	"GR113-085"	126	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Jan., 2005"	"2005/01"	"Asthma (J45-J46)"	"GR113-085"	132	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Feb., 2005"	"2005/02"	"Asthma (J45-J46)"	"GR113-085"	121	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Mar., 2005"	"2005/03"	"Asthma (J45-J46)"	"GR113-085"	113	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Apr., 2005"	"2005/04"	"Asthma (J45-J46)"	"GR113-085"	109	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"May, 2005"	"2005/05"	"Asthma (J45-J46)"	"GR113-085"	115	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Jun., 2005"	"2005/06"	"Asthma (J45-J46)"	"GR113-085"	112	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Jul., 2005"	"2005/07"	"Asthma (J45-J46)"	"GR113-085"	99	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Aug., 2005"	"2005/08"	"Asthma (J45-J46)"	"GR113-085"	90	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Sep., 2005"	"2005/09"	"Asthma (J45-J46)"	"GR113-085"	81	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Oct., 2005"	"2005/10"	"Asthma (J45-J46)"	"GR113-085"	94	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Nov., 2005"	"2005/11"	"Asthma (J45-J46)"	"GR113-085"	104	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2005"	"2005"	"Dec., 2005"	"2005/12"	"Asthma (J45-J46)"	"GR113-085"	136	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Asthma (J45-J46)"	"GR113-085"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Feb., 2006"	"2006/02"	"Asthma (J45-J46)"	"GR113-085"	85	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Mar., 2006"	"2006/03"	"Asthma (J45-J46)"	"GR113-085"	119	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Apr., 2006"	"2006/04"	"Asthma (J45-J46)"	"GR113-085"	94	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"May, 2006"	"2006/05"	"Asthma (J45-J46)"	"GR113-085"	102	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Jun., 2006"	"2006/06"	"Asthma (J45-J46)"	"GR113-085"	93	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Jul., 2006"	"2006/07"	"Asthma (J45-J46)"	"GR113-085"	84	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Aug., 2006"	"2006/08"	"Asthma (J45-J46)"	"GR113-085"	94	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Sep., 2006"	"2006/09"	"Asthma (J45-J46)"	"GR113-085"	99	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Oct., 2006"	"2006/10"	"Asthma (J45-J46)"	"GR113-085"	85	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Nov., 2006"	"2006/11"	"Asthma (J45-J46)"	"GR113-085"	90	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2006"	"2006"	"Dec., 2006"	"2006/12"	"Asthma (J45-J46)"	"GR113-085"	118	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Asthma (J45-J46)"	"GR113-085"	121	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Asthma (J45-J46)"	"GR113-085"	101	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Asthma (J45-J46)"	"GR113-085"	111	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Apr., 2007"	"2007/04"	"Asthma (J45-J46)"	"GR113-085"	89	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"May, 2007"	"2007/05"	"Asthma (J45-J46)"	"GR113-085"	89	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Jun., 2007"	"2007/06"	"Asthma (J45-J46)"	"GR113-085"	79	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Jul., 2007"	"2007/07"	"Asthma (J45-J46)"	"GR113-085"	86	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Aug., 2007"	"2007/08"	"Asthma (J45-J46)"	"GR113-085"	66	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Sep., 2007"	"2007/09"	"Asthma (J45-J46)"	"GR113-085"	78	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Oct., 2007"	"2007/10"	"Asthma (J45-J46)"	"GR113-085"	91	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Nov., 2007"	"2007/11"	"Asthma (J45-J46)"	"GR113-085"	115	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2007"	"2007"	"Dec., 2007"	"2007/12"	"Asthma (J45-J46)"	"GR113-085"	109	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Jan., 2008"	"2008/01"	"Asthma (J45-J46)"	"GR113-085"	126	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Feb., 2008"	"2008/02"	"Asthma (J45-J46)"	"GR113-085"	98	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Mar., 2008"	"2008/03"	"Asthma (J45-J46)"	"GR113-085"	115	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Apr., 2008"	"2008/04"	"Asthma (J45-J46)"	"GR113-085"	112	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"May, 2008"	"2008/05"	"Asthma (J45-J46)"	"GR113-085"	80	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Jun., 2008"	"2008/06"	"Asthma (J45-J46)"	"GR113-085"	87	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Jul., 2008"	"2008/07"	"Asthma (J45-J46)"	"GR113-085"	66	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Aug., 2008"	"2008/08"	"Asthma (J45-J46)"	"GR113-085"	73	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Sep., 2008"	"2008/09"	"Asthma (J45-J46)"	"GR113-085"	88	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Oct., 2008"	"2008/10"	"Asthma (J45-J46)"	"GR113-085"	89	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Nov., 2008"	"2008/11"	"Asthma (J45-J46)"	"GR113-085"	99	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2008"	"2008"	"Dec., 2008"	"2008/12"	"Asthma (J45-J46)"	"GR113-085"	98	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Jan., 2009"	"2009/01"	"Asthma (J45-J46)"	"GR113-085"	111	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Feb., 2009"	"2009/02"	"Asthma (J45-J46)"	"GR113-085"	103	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Mar., 2009"	"2009/03"	"Asthma (J45-J46)"	"GR113-085"	116	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Apr., 2009"	"2009/04"	"Asthma (J45-J46)"	"GR113-085"	78	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"May, 2009"	"2009/05"	"Asthma (J45-J46)"	"GR113-085"	103	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Jun., 2009"	"2009/06"	"Asthma (J45-J46)"	"GR113-085"	102	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Jul., 2009"	"2009/07"	"Asthma (J45-J46)"	"GR113-085"	76	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Aug., 2009"	"2009/08"	"Asthma (J45-J46)"	"GR113-085"	98	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Sep., 2009"	"2009/09"	"Asthma (J45-J46)"	"GR113-085"	84	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Oct., 2009"	"2009/10"	"Asthma (J45-J46)"	"GR113-085"	84	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Nov., 2009"	"2009/11"	"Asthma (J45-J46)"	"GR113-085"	103	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2009"	"2009"	"Dec., 2009"	"2009/12"	"Asthma (J45-J46)"	"GR113-085"	100	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Asthma (J45-J46)"	"GR113-085"	97	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Asthma (J45-J46)"	"GR113-085"	101	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Mar., 2010"	"2010/03"	"Asthma (J45-J46)"	"GR113-085"	101	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Apr., 2010"	"2010/04"	"Asthma (J45-J46)"	"GR113-085"	87	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"May, 2010"	"2010/05"	"Asthma (J45-J46)"	"GR113-085"	93	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Jun., 2010"	"2010/06"	"Asthma (J45-J46)"	"GR113-085"	92	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Jul., 2010"	"2010/07"	"Asthma (J45-J46)"	"GR113-085"	89	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Aug., 2010"	"2010/08"	"Asthma (J45-J46)"	"GR113-085"	83	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Sep., 2010"	"2010/09"	"Asthma (J45-J46)"	"GR113-085"	85	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Oct., 2010"	"2010/10"	"Asthma (J45-J46)"	"GR113-085"	95	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Nov., 2010"	"2010/11"	"Asthma (J45-J46)"	"GR113-085"	87	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2010"	"2010"	"Dec., 2010"	"2010/12"	"Asthma (J45-J46)"	"GR113-085"	113	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Jan., 2011"	"2011/01"	"Asthma (J45-J46)"	"GR113-085"	128	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Feb., 2011"	"2011/02"	"Asthma (J45-J46)"	"GR113-085"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Mar., 2011"	"2011/03"	"Asthma (J45-J46)"	"GR113-085"	110	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Apr., 2011"	"2011/04"	"Asthma (J45-J46)"	"GR113-085"	98	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"May, 2011"	"2011/05"	"Asthma (J45-J46)"	"GR113-085"	97	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Jun., 2011"	"2011/06"	"Asthma (J45-J46)"	"GR113-085"	89	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Jul., 2011"	"2011/07"	"Asthma (J45-J46)"	"GR113-085"	70	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Aug., 2011"	"2011/08"	"Asthma (J45-J46)"	"GR113-085"	86	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Sep., 2011"	"2011/09"	"Asthma (J45-J46)"	"GR113-085"	71	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Oct., 2011"	"2011/10"	"Asthma (J45-J46)"	"GR113-085"	77	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Nov., 2011"	"2011/11"	"Asthma (J45-J46)"	"GR113-085"	87	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2011"	"2011"	"Dec., 2011"	"2011/12"	"Asthma (J45-J46)"	"GR113-085"	98	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Asthma (J45-J46)"	"GR113-085"	93	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Feb., 2012"	"2012/02"	"Asthma (J45-J46)"	"GR113-085"	115	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Mar., 2012"	"2012/03"	"Asthma (J45-J46)"	"GR113-085"	111	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Apr., 2012"	"2012/04"	"Asthma (J45-J46)"	"GR113-085"	105	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"May, 2012"	"2012/05"	"Asthma (J45-J46)"	"GR113-085"	94	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Jun., 2012"	"2012/06"	"Asthma (J45-J46)"	"GR113-085"	62	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Jul., 2012"	"2012/07"	"Asthma (J45-J46)"	"GR113-085"	90	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Aug., 2012"	"2012/08"	"Asthma (J45-J46)"	"GR113-085"	78	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Sep., 2012"	"2012/09"	"Asthma (J45-J46)"	"GR113-085"	62	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Oct., 2012"	"2012/10"	"Asthma (J45-J46)"	"GR113-085"	94	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Nov., 2012"	"2012/11"	"Asthma (J45-J46)"	"GR113-085"	103	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2012"	"2012"	"Dec., 2012"	"2012/12"	"Asthma (J45-J46)"	"GR113-085"	109	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2013"	"2013"	"Jan., 2013"	"2013/01"	"Asthma (J45-J46)"	"GR113-085"	146	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2013"	"2013"	"Feb., 2013"	"2013/02"	"Asthma (J45-J46)"	"GR113-085"	109	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2013"	"2013"	"Mar., 2013"	"2013/03"	"Asthma (J45-J46)"	"GR113-085"	114	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"2013"	"2013"	"Apr., 2013"	"2013/04"	"Asthma (J45-J46)"	"GR113-085"	101	Not Applicable	Not Applicable
