"Notes"	"State"	"State Code"	"Month, Year"	"Month, Year Code"	Avg Fine Particulate Matter (µg/m³)	Min Fine Particulate Matter	Max Fine Particulate Matter	Avg Fine Particulate Matter Standard Deviation
	"Alabama"	"01"	"Sep, 2004"	"2004/09"	17.316698000	2.200000000	46.700000000	7.152200288
	"Alabama"	"01"	"Oct, 2004"	"2004/10"	18.007140000	3.900000000	49.300000000	8.108807227
	"Alabama"	"01"	"Nov, 2004"	"2004/11"	10.632274000	2.800000000	28.700000000	4.248988610
	"Alabama"	"01"	"Dec, 2004"	"2004/12"	11.865454000	0.000000000	26.700000000	4.643873332
	"Alabama"	"01"	"Jan, 2005"	"2005/01"	12.004832000	1.800000000	30.300000000	4.868824759
	"Alabama"	"01"	"Feb, 2005"	"2005/02"	12.530183000	2.500000000	28.000000000	4.152560538
	"Alabama"	"01"	"Mar, 2005"	"2005/03"	11.935315000	3.900000000	24.400000000	3.932329814
	"Alabama"	"01"	"Apr, 2005"	"2005/04"	12.323989000	0.000000000	38.700000000	5.521430917
	"Alabama"	"01"	"May, 2005"	"2005/05"	18.275874000	1.900000000	38.300000000	6.388689243
	"Alabama"	"01"	"Jun, 2005"	"2005/06"	18.423968000	0.000000000	52.800000000	10.631540675
	"Alabama"	"01"	"Jul, 2005"	"2005/07"	17.779155000	1.900000000	50.500000000	8.825239192
	"Alabama"	"01"	"Aug, 2005"	"2005/08"	20.189328000	4.300000000	53.100000000	7.090819208
	"Alabama"	"01"	"Sep, 2005"	"2005/09"	22.502097000	4.000000000	58.700000000	9.586676577
	"Alabama"	"01"	"Oct, 2005"	"2005/10"	17.767073000	5.500000000	34.800000000	6.203993555
	"Alabama"	"01"	"Nov, 2005"	"2005/11"	12.919069000	4.000000000	28.000000000	4.743390406
	"Alabama"	"01"	"Dec, 2005"	"2005/12"	12.783914000	1.600000000	36.900000000	4.765723930
	"Alabama"	"01"	"Jan, 2006"	"2006/01"	10.323901000	0.000000000	24.300000000	3.705011937
	"Alabama"	"01"	"Feb, 2006"	"2006/02"	11.246564000	2.700000000	29.900000000	3.812658521
	"Alabama"	"01"	"Mar, 2006"	"2006/03"	14.760119000	2.100000000	32.900000000	4.923871305
	"Alabama"	"01"	"Apr, 2006"	"2006/04"	15.366729000	6.000000000	33.700000000	4.330326325
	"Alabama"	"01"	"May, 2006"	"2006/05"	16.003246000	5.000000000	45.400000000	7.034330922
	"Alabama"	"01"	"Jun, 2006"	"2006/06"	21.337852000	8.500000000	40.100000000	5.963199870
	"Alabama"	"01"	"Jul, 2006"	"2006/07"	21.033505000	3.800000000	43.300000000	7.594110199
	"Alabama"	"01"	"Aug, 2006"	"2006/08"	19.895736000	6.100000000	45.400000000	6.941344881
	"Alabama"	"01"	"Sep, 2006"	"2006/09"	16.891986000	3.400000000	37.900000000	6.277755453
	"Alabama"	"01"	"Oct, 2006"	"2006/10"	14.166456000	2.800000000	40.700000000	6.509755043
	"Alabama"	"01"	"Nov, 2006"	"2006/11"	13.011501000	2.900000000	25.900000000	4.684661528
	"Alabama"	"01"	"Dec, 2006"	"2006/12"	12.975853000	2.400000000	34.500000000	6.229796940
	"Alabama"	"01"	"Jan, 2007"	"2007/01"	8.908088000	1.100000000	23.100000000	3.034968647
	"Alabama"	"01"	"Feb, 2007"	"2007/02"	12.044167000	3.700000000	29.900000000	4.168379465
	"Alabama"	"01"	"Mar, 2007"	"2007/03"	17.418704000	3.300000000	40.300000000	7.475302274
	"Alabama"	"01"	"Apr, 2007"	"2007/04"	12.318671000	4.200000000	26.500000000	4.750524211
	"Alabama"	"01"	"May, 2007"	"2007/05"	23.702945000	0.000000000	65.000000000	10.746588141
	"Alabama"	"01"	"Jun, 2007"	"2007/06"	18.991552000	4.400000000	54.800000000	7.749341838
	"Alabama"	"01"	"Jul, 2007"	"2007/07"	14.608185000	2.100000000	42.200000000	5.075076462
	"Alabama"	"01"	"Aug, 2007"	"2007/08"	22.166760000	4.000000000	48.600000000	7.786408632
	"Alabama"	"01"	"Sep, 2007"	"2007/09"	16.555459000	0.800000000	46.800000000	7.703501364
	"Alabama"	"01"	"Oct, 2007"	"2007/10"	9.937189000	0.000000000	22.400000000	3.939779390
	"Alabama"	"01"	"Nov, 2007"	"2007/11"	12.935820000	1.800000000	31.100000000	4.923632525
	"Alabama"	"01"	"Dec, 2007"	"2007/12"	11.677047000	0.000000000	27.200000000	3.797173058
	"Alabama"	"01"	"Jan, 2008"	"2008/01"	9.047785000	1.100000000	21.400000000	2.710567588
	"Alabama"	"01"	"Feb, 2008"	"2008/02"	10.904375000	0.900000000	23.200000000	3.747473353
	"Alabama"	"01"	"Mar, 2008"	"2008/03"	13.298411000	1.300000000	28.000000000	4.131661665
	"Alabama"	"01"	"Apr, 2008"	"2008/04"	11.872977000	1.200000000	27.300000000	4.301920168
	"Alabama"	"01"	"May, 2008"	"2008/05"	14.788213000	1.400000000	31.200000000	5.138152471
	"Alabama"	"01"	"Jun, 2008"	"2008/06"	14.286806000	4.300000000	29.800000000	4.490143459
	"Alabama"	"01"	"Jul, 2008"	"2008/07"	18.037011000	1.500000000	49.100000000	8.485518344
	"Alabama"	"01"	"Aug, 2008"	"2008/08"	15.108871000	0.300000000	31.100000000	6.459144317
	"Alabama"	"01"	"Sep, 2008"	"2008/09"	13.771222000	1.400000000	28.500000000	4.695209700
	"Alabama"	"01"	"Oct, 2008"	"2008/10"	12.177789000	2.400000000	28.400000000	4.888332510
	"Alabama"	"01"	"Nov, 2008"	"2008/11"	12.617731000	2.200000000	27.000000000	4.871805289
	"Alabama"	"01"	"Dec, 2008"	"2008/12"	8.212783000	0.700000000	14.700000000	2.351264117
	"Alabama"	"01"	"Jan, 2009"	"2009/01"	10.701917000	0.500000000	24.000000000	4.388775156
	"Alabama"	"01"	"Feb, 2009"	"2009/02"	11.696287000	2.100000000	32.900000000	5.448027847
	"Alabama"	"01"	"Mar, 2009"	"2009/03"	11.326510000	0.100000000	30.600000000	5.204601402
	"Alabama"	"01"	"Apr, 2009"	"2009/04"	10.260434000	2.200000000	22.300000000	2.977563924
	"Alabama"	"01"	"May, 2009"	"2009/05"	9.109891000	0.000000000	19.900000000	3.007602585
	"Alabama"	"01"	"Jun, 2009"	"2009/06"	16.045810000	3.500000000	29.600000000	4.673404442
	"Alabama"	"01"	"Jul, 2009"	"2009/07"	13.193025000	3.100000000	28.300000000	4.162928727
	"Alabama"	"01"	"Aug, 2009"	"2009/08"	12.105480000	1.600000000	28.700000000	4.754345486
	"Alabama"	"01"	"Sep, 2009"	"2009/09"	11.048592000	2.700000000	24.900000000	4.007212265
	"Alabama"	"01"	"Oct, 2009"	"2009/10"	8.172398000	1.100000000	15.600000000	2.821625861
	"Alabama"	"01"	"Nov, 2009"	"2009/11"	11.637554000	2.900000000	29.100000000	4.323951170
	"Alabama"	"01"	"Dec, 2009"	"2009/12"	9.539671000	1.500000000	26.500000000	3.956952513
	"Alabama"	"01"	"Jan, 2010"	"2010/01"	10.867897000	2.200000000	32.000000000	4.717840770
	"Alabama"	"01"	"Feb, 2010"	"2010/02"	10.180127000	3.100000000	20.700000000	3.141570829
	"Alabama"	"01"	"Mar, 2010"	"2010/03"	11.423011000	1.100000000	26.900000000	4.404887452
	"Alabama"	"01"	"Apr, 2010"	"2010/04"	13.474297000	3.200000000	26.800000000	4.920584876
	"Alabama"	"01"	"May, 2010"	"2010/05"	14.134774000	3.700000000	37.100000000	4.917577934
	"Alabama"	"01"	"Jun, 2010"	"2010/06"	13.973438000	0.000000000	32.500000000	4.126338655
	"Alabama"	"01"	"Jul, 2010"	"2010/07"	14.295925000	3.400000000	28.000000000	4.933159159
	"Alabama"	"01"	"Aug, 2010"	"2010/08"	13.552770000	0.400000000	28.300000000	5.221065170
	"Alabama"	"01"	"Sep, 2010"	"2010/09"	13.971138000	3.500000000	28.300000000	5.001284870
	"Alabama"	"01"	"Oct, 2010"	"2010/10"	12.280079000	3.600000000	26.900000000	4.650722373
	"Alabama"	"01"	"Nov, 2010"	"2010/11"	12.018830000	0.000000000	27.400000000	4.890217220
	"Alabama"	"01"	"Dec, 2010"	"2010/12"	11.531579000	3.600000000	21.800000000	3.673352895
	"Alabama"	"01"	"Jan, 2011"	"2011/01"	11.747785000	0.000000000	31.900000000	5.190160177
	"Alabama"	"01"	"Feb, 2011"	"2011/02"	12.854966000	3.400000000	32.600000000	5.528655454
	"Alabama"	"01"	"Mar, 2011"	"2011/03"	12.311327000	0.000000000	25.000000000	4.210185079
	"Alabama"	"01"	"Apr, 2011"	"2011/04"	9.798263000	1.700000000	25.100000000	3.407183624
	"Alabama"	"01"	"May, 2011"	"2011/05"	13.489963000	1.200000000	30.700000000	4.946162309
	"Alabama"	"01"	"Jun, 2011"	"2011/06"	18.499457000	4.200000000	46.400000000	7.890849881
	"Alabama"	"01"	"Jul, 2011"	"2011/07"	15.955866000	1.500000000	35.400000000	6.058971153
	"Alabama"	"01"	"Aug, 2011"	"2011/08"	16.274889000	4.400000000	31.600000000	5.087466270
	"Alabama"	"01"	"Sep, 2011"	"2011/09"	12.710366000	0.000000000	27.800000000	5.739076877
	"Alabama"	"01"	"Oct, 2011"	"2011/10"	11.295333000	0.000000000	23.900000000	4.505957946
	"Alabama"	"01"	"Nov, 2011"	"2011/11"	8.703185000	0.500000000	21.500000000	3.562996917
	"Alabama"	"01"	"Dec, 2011"	"2011/12"	9.933193000	0.400000000	20.300000000	3.488545331
"Total"	"Alabama"	"01"			13.949876000	0.000000000	65.000000000	6.557403327
	"Arizona"	"04"	"Jan, 2003"	"2003/01"	16.655142000	0.000000000	56.500000000	6.047563316
	"Arizona"	"04"	"Feb, 2003"	"2003/02"	10.121895000	0.000000000	42.100000000	4.662380226
	"Arizona"	"04"	"Mar, 2003"	"2003/03"	11.186535000	0.000000000	46.200000000	6.875671806
	"Arizona"	"04"	"Apr, 2003"	"2003/04"	7.019348000	0.000000000	19.100000000	2.935064204
	"Arizona"	"04"	"May, 2003"	"2003/05"	12.631532000	0.000000000	35.600000000	5.313935365
	"Arizona"	"04"	"Jun, 2003"	"2003/06"	10.792332000	0.000000000	40.600000000	4.233550337
	"Arizona"	"04"	"Jul, 2003"	"2003/07"	12.484252000	2.300000000	56.100000000	4.461810970
	"Arizona"	"04"	"Aug, 2003"	"2003/08"	9.098174000	0.000000000	20.000000000	2.994504406
	"Arizona"	"04"	"Sep, 2003"	"2003/09"	11.293064000	0.000000000	34.800000000	5.052410244
	"Arizona"	"04"	"Oct, 2003"	"2003/10"	13.789270000	0.000000000	65.000000000	8.038596439
	"Arizona"	"04"	"Nov, 2003"	"2003/11"	10.775272000	0.000000000	44.300000000	4.646907666
	"Arizona"	"04"	"Dec, 2003"	"2003/12"	13.723344000	0.000000000	45.700000000	6.426493025
	"Arizona"	"04"	"Jan, 2004"	"2004/01"	14.097207000	0.000000000	61.100000000	7.237488300
	"Arizona"	"04"	"Feb, 2004"	"2004/02"	10.454299000	0.000000000	65.000000000	6.000944641
	"Arizona"	"04"	"Mar, 2004"	"2004/03"	11.559914000	0.000000000	55.900000000	6.427042877
	"Arizona"	"04"	"Apr, 2004"	"2004/04"	8.963377000	0.000000000	35.800000000	3.939823777
	"Arizona"	"04"	"May, 2004"	"2004/05"	9.076287000	0.000000000	18.500000000	2.512882255
	"Arizona"	"04"	"Jun, 2004"	"2004/06"	10.348271000	0.000000000	45.100000000	4.478425457
	"Arizona"	"04"	"Jul, 2004"	"2004/07"	10.345473000	0.400000000	65.000000000	4.756162972
	"Arizona"	"04"	"Aug, 2004"	"2004/08"	8.917486000	0.000000000	25.300000000	3.595835650
	"Arizona"	"04"	"Sep, 2004"	"2004/09"	10.180543000	0.300000000	25.800000000	4.196650601
	"Arizona"	"04"	"Oct, 2004"	"2004/10"	8.633646000	0.000000000	31.600000000	4.572750414
	"Arizona"	"04"	"Nov, 2004"	"2004/11"	9.921907000	0.000000000	38.900000000	5.015081081
	"Arizona"	"04"	"Dec, 2004"	"2004/12"	12.822387000	0.000000000	46.100000000	6.004339502
	"Arizona"	"04"	"Jan, 2005"	"2005/01"	10.602427000	0.000000000	34.500000000	5.223779330
	"Arizona"	"04"	"Feb, 2005"	"2005/02"	8.135391000	0.000000000	29.200000000	4.356439176
	"Arizona"	"04"	"Mar, 2005"	"2005/03"	8.223706000	0.000000000	32.800000000	5.113295928
	"Arizona"	"04"	"Apr, 2005"	"2005/04"	8.650288000	0.000000000	25.300000000	3.654095554
	"Arizona"	"04"	"May, 2005"	"2005/05"	8.744522000	0.000000000	27.000000000	3.883038823
	"Arizona"	"04"	"Jun, 2005"	"2005/06"	11.206893000	0.000000000	24.900000000	4.124113135
	"Arizona"	"04"	"Jul, 2005"	"2005/07"	12.128783000	0.000000000	31.300000000	4.096943997
	"Arizona"	"04"	"Aug, 2005"	"2005/08"	10.041539000	0.700000000	30.500000000	3.826900236
	"Arizona"	"04"	"Sep, 2005"	"2005/09"	10.173820000	0.000000000	23.000000000	4.154838247
	"Arizona"	"04"	"Oct, 2005"	"2005/10"	10.768715000	0.400000000	44.300000000	4.136156846
	"Arizona"	"04"	"Nov, 2005"	"2005/11"	11.895306000	0.000000000	33.700000000	4.482874271
	"Arizona"	"04"	"Dec, 2005"	"2005/12"	15.101731000	1.400000000	46.200000000	5.310815283
	"Arizona"	"04"	"Jan, 2006"	"2006/01"	11.628050000	0.900000000	29.400000000	3.882574773
	"Arizona"	"04"	"Feb, 2006"	"2006/02"	11.758733000	0.000000000	38.500000000	5.041330520
	"Arizona"	"04"	"Mar, 2006"	"2006/03"	7.673892000	0.000000000	28.000000000	3.871923380
	"Arizona"	"04"	"Apr, 2006"	"2006/04"	6.974184000	0.000000000	30.700000000	2.880288308
	"Arizona"	"04"	"May, 2006"	"2006/05"	8.865266000	0.000000000	24.800000000	2.899657703
	"Arizona"	"04"	"Jun, 2006"	"2006/06"	10.168337000	0.000000000	27.700000000	3.447162586
	"Arizona"	"04"	"Jul, 2006"	"2006/07"	9.349463000	0.000000000	19.900000000	2.761157446
	"Arizona"	"04"	"Aug, 2006"	"2006/08"	7.983018000	0.000000000	19.300000000	2.279464042
	"Arizona"	"04"	"Sep, 2006"	"2006/09"	8.138046000	0.000000000	20.200000000	2.846252734
	"Arizona"	"04"	"Oct, 2006"	"2006/10"	7.801161000	0.000000000	20.200000000	2.985177859
	"Arizona"	"04"	"Nov, 2006"	"2006/11"	10.878660000	2.000000000	25.900000000	3.361967379
	"Arizona"	"04"	"Dec, 2006"	"2006/12"	13.639813000	0.000000000	46.600000000	5.707341863
	"Arizona"	"04"	"Jan, 2007"	"2007/01"	13.249248000	0.000000000	34.700000000	6.287498780
	"Arizona"	"04"	"Feb, 2007"	"2007/02"	10.370680000	0.000000000	37.100000000	5.166463644
	"Arizona"	"04"	"Mar, 2007"	"2007/03"	7.982857000	0.000000000	21.000000000	3.945591142
	"Arizona"	"04"	"Apr, 2007"	"2007/04"	7.705313000	0.000000000	17.700000000	2.453940813
	"Arizona"	"04"	"May, 2007"	"2007/05"	7.559832000	0.000000000	20.100000000	2.906607793
	"Arizona"	"04"	"Jun, 2007"	"2007/06"	9.497711000	0.000000000	21.100000000	2.921290109
	"Arizona"	"04"	"Jul, 2007"	"2007/07"	9.838431000	0.000000000	25.100000000	2.855827203
	"Arizona"	"04"	"Aug, 2007"	"2007/08"	10.544351000	1.100000000	23.900000000	3.439808218
	"Arizona"	"04"	"Sep, 2007"	"2007/09"	8.890123000	0.000000000	25.900000000	2.837051414
	"Arizona"	"04"	"Oct, 2007"	"2007/10"	10.798765000	0.000000000	54.400000000	6.032994822
	"Arizona"	"04"	"Nov, 2007"	"2007/11"	13.737482000	0.000000000	30.900000000	4.432494501
	"Arizona"	"04"	"Dec, 2007"	"2007/12"	11.769980000	0.000000000	49.900000000	5.715119905
	"Arizona"	"04"	"Jan, 2008"	"2008/01"	10.238510000	0.000000000	35.300000000	5.817352506
	"Arizona"	"04"	"Feb, 2008"	"2008/02"	10.583583000	0.000000000	27.300000000	4.906432745
	"Arizona"	"04"	"Mar, 2008"	"2008/03"	10.087307000	0.000000000	24.400000000	4.852101873
	"Arizona"	"04"	"Apr, 2008"	"2008/04"	10.521094000	0.000000000	24.300000000	4.110885272
	"Arizona"	"04"	"May, 2008"	"2008/05"	10.123422000	0.000000000	20.700000000	3.325208924
	"Arizona"	"04"	"Jun, 2008"	"2008/06"	10.542661000	0.000000000	37.800000000	5.895714445
	"Arizona"	"04"	"Jul, 2008"	"2008/07"	14.813582000	0.000000000	42.400000000	6.710651577
	"Arizona"	"04"	"Aug, 2008"	"2008/08"	11.896558000	1.000000000	34.600000000	5.326323077
	"Arizona"	"04"	"Sep, 2008"	"2008/09"	13.622316000	0.000000000	41.400000000	5.917011280
	"Arizona"	"04"	"Oct, 2008"	"2008/10"	12.928511000	0.000000000	30.900000000	4.988924679
	"Arizona"	"04"	"Nov, 2008"	"2008/11"	12.340785000	0.000000000	29.800000000	5.612456257
	"Arizona"	"04"	"Dec, 2008"	"2008/12"	13.175024000	0.000000000	38.000000000	6.962597340
	"Arizona"	"04"	"Jan, 2009"	"2009/01"	17.786352000	2.000000000	52.400000000	9.545093451
	"Arizona"	"04"	"Feb, 2009"	"2009/02"	10.365412000	0.700000000	25.400000000	4.573726200
	"Arizona"	"04"	"Mar, 2009"	"2009/03"	11.110304000	0.000000000	27.900000000	4.922688819
	"Arizona"	"04"	"Apr, 2009"	"2009/04"	10.570886000	0.000000000	20.900000000	3.876428237
	"Arizona"	"04"	"May, 2009"	"2009/05"	13.113752000	0.000000000	37.900000000	5.748176834
	"Arizona"	"04"	"Jun, 2009"	"2009/06"	12.363475000	0.300000000	38.800000000	6.551372157
	"Arizona"	"04"	"Jul, 2009"	"2009/07"	14.788311000	0.300000000	31.600000000	6.065981778
	"Arizona"	"04"	"Aug, 2009"	"2009/08"	14.247429000	3.000000000	34.200000000	5.847166585
	"Arizona"	"04"	"Sep, 2009"	"2009/09"	13.046531000	0.300000000	26.400000000	5.986444310
	"Arizona"	"04"	"Oct, 2009"	"2009/10"	10.908406000	0.000000000	31.700000000	5.216259848
	"Arizona"	"04"	"Nov, 2009"	"2009/11"	16.953145000	0.000000000	46.600000000	6.698901653
	"Arizona"	"04"	"Dec, 2009"	"2009/12"	16.414552000	0.000000000	51.400000000	8.794451444
	"Arizona"	"04"	"Jan, 2010"	"2010/01"	14.696027000	1.700000000	36.600000000	7.323076584
	"Arizona"	"04"	"Feb, 2010"	"2010/02"	10.082335000	0.000000000	30.700000000	5.805220839
	"Arizona"	"04"	"Mar, 2010"	"2010/03"	10.419965000	0.000000000	29.500000000	5.240050907
	"Arizona"	"04"	"Apr, 2010"	"2010/04"	9.671942000	0.000000000	30.400000000	4.791610142
	"Arizona"	"04"	"May, 2010"	"2010/05"	7.103717000	0.000000000	18.600000000	2.442124921
	"Arizona"	"04"	"Jun, 2010"	"2010/06"	8.526132000	0.000000000	25.600000000	3.162108763
	"Arizona"	"04"	"Jul, 2010"	"2010/07"	8.619644000	0.900000000	19.400000000	2.657755418
	"Arizona"	"04"	"Aug, 2010"	"2010/08"	8.159707000	0.700000000	18.100000000	2.689495915
	"Arizona"	"04"	"Sep, 2010"	"2010/09"	8.605055000	0.000000000	17.800000000	2.241424059
	"Arizona"	"04"	"Oct, 2010"	"2010/10"	8.388006000	0.000000000	16.600000000	2.586938618
	"Arizona"	"04"	"Nov, 2010"	"2010/11"	10.682285000	1.500000000	24.000000000	3.820478316
	"Arizona"	"04"	"Dec, 2010"	"2010/12"	14.868731000	1.500000000	42.800000000	6.392306067
	"Arizona"	"04"	"Jan, 2011"	"2011/01"	16.051543000	0.300000000	64.800000000	8.244457384
	"Arizona"	"04"	"Feb, 2011"	"2011/02"	10.197359000	0.000000000	30.900000000	4.894901696
	"Arizona"	"04"	"Mar, 2011"	"2011/03"	8.737987000	0.000000000	22.000000000	3.352202202
	"Arizona"	"04"	"Apr, 2011"	"2011/04"	7.034004000	0.000000000	18.600000000	2.998739728
	"Arizona"	"04"	"May, 2011"	"2011/05"	7.556032000	0.000000000	21.700000000	2.767660975
	"Arizona"	"04"	"Jun, 2011"	"2011/06"	8.948697000	0.000000000	17.200000000	2.515129391
	"Arizona"	"04"	"Jul, 2011"	"2011/07"	10.278006000	0.000000000	54.600000000	7.405207011
	"Arizona"	"04"	"Aug, 2011"	"2011/08"	9.585051000	0.000000000	38.000000000	3.668264504
	"Arizona"	"04"	"Sep, 2011"	"2011/09"	9.393547000	1.900000000	22.000000000	3.044586007
	"Arizona"	"04"	"Oct, 2011"	"2011/10"	9.256471000	0.000000000	21.500000000	2.388863009
	"Arizona"	"04"	"Nov, 2011"	"2011/11"	9.172095000	0.000000000	20.900000000	3.141880760
	"Arizona"	"04"	"Dec, 2011"	"2011/12"	15.026443000	0.000000000	54.900000000	9.757340532
"Total"	"Arizona"	"04"			10.853574000	0.000000000	65.000000000	5.520178938
	"Arkansas"	"05"	"Jan, 2003"	"2003/01"	11.346618000	2.900000000	24.500000000	3.931419626
	"Arkansas"	"05"	"Feb, 2003"	"2003/02"	11.938758000	4.100000000	37.900000000	4.990558593
	"Arkansas"	"05"	"Mar, 2003"	"2003/03"	12.939285000	0.000000000	34.200000000	5.390897713
	"Arkansas"	"05"	"Apr, 2003"	"2003/04"	11.983330000	4.300000000	24.100000000	3.922364644
	"Arkansas"	"05"	"May, 2003"	"2003/05"	13.556515000	1.300000000	43.700000000	4.539354484
	"Arkansas"	"05"	"Jun, 2003"	"2003/06"	12.979442000	2.300000000	28.400000000	4.811357379
	"Arkansas"	"05"	"Jul, 2003"	"2003/07"	13.442953000	0.400000000	28.600000000	3.636810588
	"Arkansas"	"05"	"Aug, 2003"	"2003/08"	16.556702000	5.300000000	35.000000000	5.650611563
	"Arkansas"	"05"	"Sep, 2003"	"2003/09"	13.663199000	0.000000000	36.900000000	6.983692899
	"Arkansas"	"05"	"Oct, 2003"	"2003/10"	12.888892000	0.000000000	32.500000000	5.397248214
	"Arkansas"	"05"	"Nov, 2003"	"2003/11"	10.152723000	2.500000000	24.900000000	4.612996275
	"Arkansas"	"05"	"Dec, 2003"	"2003/12"	9.486379000	0.000000000	20.400000000	3.303614135
	"Arkansas"	"05"	"Jan, 2004"	"2004/01"	11.680064000	2.600000000	26.600000000	4.265945411
	"Arkansas"	"05"	"Feb, 2004"	"2004/02"	13.789970000	1.200000000	31.200000000	4.276972684
	"Arkansas"	"05"	"Mar, 2004"	"2004/03"	9.354602000	2.100000000	27.200000000	3.875642255
	"Arkansas"	"05"	"Apr, 2004"	"2004/04"	11.144536000	0.700000000	24.900000000	3.171027525
	"Arkansas"	"05"	"May, 2004"	"2004/05"	10.486313000	0.000000000	30.200000000	4.117189744
	"Arkansas"	"05"	"Jun, 2004"	"2004/06"	10.736805000	0.000000000	21.200000000	2.941510763
	"Arkansas"	"05"	"Jul, 2004"	"2004/07"	14.874064000	0.200000000	40.900000000	6.628550220
	"Arkansas"	"05"	"Aug, 2004"	"2004/08"	14.751864000	4.700000000	35.800000000	6.254972347
	"Arkansas"	"05"	"Sep, 2004"	"2004/09"	15.249977000	2.300000000	31.300000000	4.966134918
	"Arkansas"	"05"	"Oct, 2004"	"2004/10"	12.252374000	0.000000000	44.600000000	6.336534688
	"Arkansas"	"05"	"Nov, 2004"	"2004/11"	8.173643000	0.700000000	20.600000000	3.730256867
	"Arkansas"	"05"	"Dec, 2004"	"2004/12"	11.107425000	2.000000000	28.300000000	4.922049532
	"Arkansas"	"05"	"Jan, 2005"	"2005/01"	10.892994000	0.000000000	28.900000000	4.184978788
	"Arkansas"	"05"	"Feb, 2005"	"2005/02"	12.319361000	2.200000000	34.500000000	4.928275766
	"Arkansas"	"05"	"Mar, 2005"	"2005/03"	9.883224000	0.000000000	23.000000000	3.396908557
	"Arkansas"	"05"	"Apr, 2005"	"2005/04"	10.848809000	0.300000000	32.300000000	4.413378528
	"Arkansas"	"05"	"May, 2005"	"2005/05"	12.684910000	3.400000000	24.400000000	4.141782936
	"Arkansas"	"05"	"Jun, 2005"	"2005/06"	19.234039000	4.100000000	54.200000000	10.712817730
	"Arkansas"	"05"	"Jul, 2005"	"2005/07"	16.400622000	5.300000000	41.200000000	6.055719967
	"Arkansas"	"05"	"Aug, 2005"	"2005/08"	17.125203000	3.900000000	39.200000000	6.128515581
	"Arkansas"	"05"	"Sep, 2005"	"2005/09"	18.844319000	3.700000000	44.300000000	8.230004793
	"Arkansas"	"05"	"Oct, 2005"	"2005/10"	14.818410000	2.900000000	31.800000000	5.602640016
	"Arkansas"	"05"	"Nov, 2005"	"2005/11"	10.265673000	3.000000000	25.100000000	3.524443745
	"Arkansas"	"05"	"Dec, 2005"	"2005/12"	11.841193000	0.000000000	28.700000000	5.160371740
	"Arkansas"	"05"	"Jan, 2006"	"2006/01"	9.023376000	3.300000000	24.400000000	3.195758585
	"Arkansas"	"05"	"Feb, 2006"	"2006/02"	10.015901000	2.200000000	26.400000000	4.069137542
	"Arkansas"	"05"	"Mar, 2006"	"2006/03"	12.090537000	4.400000000	23.300000000	3.879824229
	"Arkansas"	"05"	"Apr, 2006"	"2006/04"	11.864997000	0.200000000	24.000000000	3.379317299
	"Arkansas"	"05"	"May, 2006"	"2006/05"	11.152637000	1.000000000	29.500000000	4.347129535
	"Arkansas"	"05"	"Jun, 2006"	"2006/06"	15.002677000	0.100000000	31.500000000	5.020332887
