"Notes"	"County"	"County Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	27	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	21	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	30	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	21	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	29	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	28	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	16	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	23	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	21	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	27	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	152	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	155	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	131	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	143	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	127	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	86	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	108	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	99	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	100	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	123	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	105	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	133	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	19	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	20	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	23	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	20	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	56	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	52	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	53	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	45	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	42	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	42	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	36	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	30	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	36	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	33	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	32	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	41	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	21	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	19	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	20	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	18	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	16	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	16	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	21	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	20	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Washington County, AR"	"05143"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	10	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	45	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	38	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	31	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	35	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	34	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	34	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	43	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	34	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	28	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	33	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	33	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	34	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	19	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	24	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	14	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	19	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	24	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	28	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	39	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Mar., 2009"	"2009/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	39	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	19	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"May, 2009"	"2009/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	35	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Jun., 2009"	"2009/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	38	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Jul., 2009"	"2009/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	36	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Aug., 2009"	"2009/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	29	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Sep., 2009"	"2009/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	35	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Oct., 2009"	"2009/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	38	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Nov., 2009"	"2009/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	34	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Dec., 2009"	"2009/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	40	Not Applicable	Not Applicable
	"El Dorado County, CA"	"06017"	"Apr., 2009"	"2009/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	12	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"Jan., 2009"	"2009/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	34	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"Feb., 2009"	"2009/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	26	Not Applicable	Not Applicable
